,Systemnummer,MMS-ID,Volltext,Barcode,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker normiert ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC12316586,AC12316586,990047416310603338,http://data.onb.ac.at/ABO/%2BZ221022709,Z221022709,"Slade, Adolphus","Records of travels in Turkey, Greece, &c. and of a cruise in the Black Sea, with the Capitan Pasha, in the years 1829, 1830, and 1831",,"Records of travels in Turkey, Greece, &c. and of a cruise in the Black Sea, with the Capitan Pasha, in the years 1829, 1830, and 1831",1,,London,,,Saunders,,,1832,1832,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 205",,,,eng,,,,,,,,,,,,,,,Griechenland ; Reise ; Reise ; Schwarzmeer-Gebiet ; Türkei ; Reise,TravelogueE19 Asien Europa $ TravelogueE19 Orient,,178470-B.1 MAG,ZALT,
AC12316590,AC12316590,990047416330603338,http://data.onb.ac.at/ABO/%2BZ221022801,Z221022801,"Slade, Adolphus","Records of travels in Turkey, Greece, &c. and of a cruise in the Black Sea, with the Capitan Pasha, in the years 1829, 1830, and 1831",,"Records of travels in Turkey, Greece, &c. and of a cruise in the Black Sea, with the Capitan Pasha, in the years 1829, 1830, and 1831",2,,London,,,Saunders,,,1832,1832,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 205",,,,eng,,,,,,,,,,,,,,,Griechenland ; Reise ; Reise ; Schwarzmeer-Gebiet ; Türkei ; Reise,TravelogueE19 Asien Europa $ TravelogueE19 Orient,,178470-B.2 MAG,ZALT,
AC16604582,AC16604582,9958935603103338,http://data.onb.ac.at/ABO/%2BZ18603070X,Z18603070X,"Hamilton, William John ; http://d-nb.info/gnd/116439777","Researches In Asia Minor, Pontus, And Armenia;",,"Researches In Asia Minor, Pontus, And Armenia; $ With Some Account Of Their Antiquities And Geology. : In Two Volumes $ By William J. Hamilton, Secretary To The Geological Society",Vol. I.,,London,London ; http://d-nb.info/gnd/4074335-4,,John Murray,,,1842,1842,,,,,,,,,,eng,,,,,,,,,,,,Reisebericht,,,Forschungsreise ; Anatolien,,,80.Cc.47.(Vol.1) PRUNK,ZALT,
AC16604585,AC16604585,9958935603003338,http://data.onb.ac.at/ABO/%2BZ186030802,Z186030802,"Hamilton, William John ; http://d-nb.info/gnd/116439777","Researches In Asia Minor, Pontus, And Armenia;",,"Researches In Asia Minor, Pontus, And Armenia; $ With Some Account Of Their Antiquities And Geology. : In Two Volumes $ By William J. Hamilton, Secretary To The Geological Society",Vol. II.,,London,London ; http://d-nb.info/gnd/4074335-4,,John Murray,,,1842,1842,,,,,,,,,,eng,,,,,,,,,,,,Reisebericht,,,Forschungsreise ; Anatolien,,,80.Cc.47.(Vol.2) PRUNK,ZALT,
AC09647956,AC09647956,990027994020603338,http://data.onb.ac.at/ABO/%2BZ167861604,Z167861604,"Ainsworth, William-Francis",,,"Researches in Assyria, Babylonia and Chaldaea, forming part of the labours of the Euphrates-expedition. Published with the sanction of the ... president of the board of control. (With maps and plates.)",,,London,,,John W. Parker,,,1838,1838,,,,,,,,,,eng,,,,,,,,,,,,,,,Forschungsreise ; Irak ; Irak ; Ausgrabung,,,65.Q.55 PRUNK,ZALT,
AC12310483,AC12310483,990047402650603338,http://data.onb.ac.at/ABO/%2BZ221012303,Z221012303,"Walsh, Robert","<<A>> Residence At Constantinople, During A Period Including The Commencement, Progress, And Termination Of The Greek And Turkish Revolutions:",,"<<A>> Residence At Constantinople, During A Period Including The Commencement, Progress, And Termination Of The Greek And Turkish Revolutions: $ Two Volumes $ By The Rev. R. Walsh, LL.D. Author Of ""A Journey From Constantinople,"" ""Notices Of Brazil,"" Etc. Etc.",1,,London,,,Frederick Westley And A.H. Davis,,,MDCCCXXXVI,1836,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 247",,,,eng,,,,,,,,,,,,,,,Griechenland ; Istanbul ; Türkei,TravelogueE19 Asien $ TravelogueE19 Orient,,178108-B.1 MAG,ZALT,
AC12310560,AC12310560,990047402790603338,http://data.onb.ac.at/ABO/%2BZ221012406,Z221012406,"Walsh, Robert","<<A>> Residence At Constantinople, During A Period Including The Commencement, Progress, And Termination Of The Greek And Turkish Revolutions:",,"<<A>> Residence At Constantinople, During A Period Including The Commencement, Progress, And Termination Of The Greek And Turkish Revolutions: $ Two Volumes $ By The Rev. R. Walsh, LL.D. Author Of ""A Journey From Constantinople,"" ""Notices Of Brazil,"" Etc. Etc.",2,,London,,,Frederick Westley And A.H. Davis,,,MDCCCXXXVI,1836,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 247",,,,eng,,,,,,,,,,,,,,,Griechenland ; Istanbul ; Türkei,TravelogueE19 Asien $ TravelogueE19 Orient,,178108-B.2 MAG,ZALT,
AC10183866,AC10183866,990033471800603338,http://data.onb.ac.at/ABO/%2BZ178204406,Z178204406,"Paton, Andrew A. ; http://d-nb.info/gnd/124709001",,,"Servia, the youngest member of the European family : or, a residence in Belgrade, and travels in the highlands and woodlands of the interior, during the years 1843 and 1844",,,London,,,Longman,,,1845,1845,,,,,,,,,,eng,,,,,,,,,,,,,,,Serbien,,,34821-B MAG,ZALT,
AC10353823,AC10353823,990035206770603338,http://data.onb.ac.at/ABO/%2BZ180794701,Z180794701,"Strauss, Friedrich Adolph",,,Sinai and Golgotha; a journey in the East. By Frederick Adolph Strauss. With an introduction by Henry Stebbing.,,,London,,,Blackwood,,,1849,1849,,,,,,,,,,eng,,,,,,,,,,,,,,,Jerusalem ; Reise ; Reise ; Sinai,,,35296-A MAG,ZALT,
AC11624566,AC11624566,990045059470603338,http://data.onb.ac.at/ABO/%2BZ176726109,Z176726109,"Urquhart, David ; http://d-nb.info/gnd/11924361X","<<The>> spirit of the East, illustrated in a journal of Travels through Roumeli during an eventful period.",,"<<The>> spirit of the East, illustrated in a journal of Travels through Roumeli during an eventful period.",1,,London,,,Colburn,,,1838,1838,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 287",,,,eng,,,,,,,,,,,,,,,Reise ; Rumelien,TravelogueE19 Europa $ TravelogueE19 Orient,,BE.3.G.29*.(Vol.1) PRUNK,ZALT,
AC11624579,AC11624579,990045059520603338,http://data.onb.ac.at/ABO/%2BZ176726201,Z176726201,"Urquhart, David ; http://d-nb.info/gnd/11924361X","<<The>> spirit of the East, illustrated in a journal of Travels through Roumeli during an eventful period.",,"<<The>> spirit of the East, illustrated in a journal of Travels through Roumeli during an eventful period.",2,,London,,,Colburn,,,1838,1838,,,,,,,,,,eng,,,,,,,,,,,,,,,Reise ; Rumelien,TravelogueE19 Orient,,BE.3.G.29*.(Vol.2) PRUNK,ZALT,
AC16585465,AC16585465,9958929133603338,http://data.onb.ac.at/ABO/%2BZ165855704,Z165855704,"Londonderry, Charles William Vane ; Marquis of ; http://d-nb.info/gnd/123047889","<<A>> Steam Voyage To Constantinople, By The Rhine And The Danube In 1840-41, And To Portugal, Spain, &c., In 1839",,"<<A>> Steam Voyage To Constantinople, By The Rhine And The Danube In 1840-41, And To Portugal, Spain, &c., In 1839 $ To Which Is Annexed, The Author's Correspondence With Prince Metternich, Lords Ponsonby, Palmerston, &c. In Two Volumes $ By C.W. Vane, Marquess Of Londonberry, G.C.B., &c.",Vol.I.,,London,London ; http://d-nb.info/gnd/4074335-4,London ; http://d-nb.info/gnd/4074335-4,"Henry Colburn, Publisher","Colburn, Henry ; http://d-nb.info/gnd/103751050X","Shoberl, F. Jun.",1842,1842,"2 ungezählte Seiten, xii Seiten, 354 Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,8°,"Die Illustration ist: 1 Portrait von Prince Metternich, illustriert von S. Bull","Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 345",Auf dem Schmutztitel: Journal Of A Tour To Constantinople. : Vol.I.,,eng,,,,,,,,,"Bull, S.",,,Reisebericht,,,Europa ; Reise,TravelogueE19 Europa Asien $ TravelogueE19 Orient,,69.B.32.(Vol.1) PRUNK,ZALT,
AC16585247,AC16585247,9958929133703338,http://data.onb.ac.at/ABO/%2BZ165855807,Z165855807,"Londonderry, Charles William Vane ; Marquis of ; http://d-nb.info/gnd/123047889","<<A>> Steam Voyage To Constantinople, By The Rhine And The Danube In 1840-41, And To Portugal, Spain, &c., In 1839",,"<<A>> Steam Voyage To Constantinople, By The Rhine And The Danube In 1840-41, And To Portugal, Spain, &c., In 1839 $ To Which Is Annexed, The Author's Correspondence With Prince Metternich, Lords Ponsonby, Palmerston, &c. In Two Volumes $ By C.W. Vane, Marquess Of Londonberry, G.C.B., &c.",Vol.II.,,London,London ; http://d-nb.info/gnd/4074335-4,London ; http://d-nb.info/gnd/4074335-4,"Henry Colburn, Publisher","Colburn, Henry ; http://d-nb.info/gnd/103751050X","Shoberl, F. Jun.",1842,1842,"2 ungezählte Seiten, ix Seiten, 1 ungezählte Seite, 354 Seiten, 2 ungezählte Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,8°,"Die Illustration ist: 1 Portrait von Abdul Mehjid, illustriert von S. Bull","Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 345",Am Ende 2 ungezählte Seiten Verlagsanzeige,Auf dem Schmutztitel: Journal Of A Tour To Constantinople. : Vol.II.,eng,,,,,,,,,"Bull, S.",,,Reisebericht,,,Europa ; Reise,TravelogueE19 Europa Asien $ TravelogueE19 Orient,,69.B.32.(Vol.2) PRUNK,ZALT,
AC11410965,AC11410965,990044622280603338,http://data.onb.ac.at/ABO/%2BZ183837607,Z183837607,"Carne, John ; http://d-nb.info/gnd/143979191","Syria, the Holy Land, Asia Minor, etc. illustrated",,"Syria, the Holy Land, Asia Minor, etc. illustrated $ in a series of views drawn from nature $ by W. H. Bartlett ... with descriptions of the plates by John Carne",1,,London [u.a.],,,Fisher,,,1839,1839,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 1125",,,,eng,,,,,,,,,"Bartlett, William Henry ; http://d-nb.info/gnd/119344092",,,,,,Naher Osten ; Vedute,TravelogueE19 Asien $ TravelogueE19 Orient,,177019-C.1 MAG,ZALT,
AC11410970,AC11410970,990044622310603338,http://data.onb.ac.at/ABO/%2BZ18383770X,Z18383770X,"Carne, John ; http://d-nb.info/gnd/143979191","Syria, the Holy Land, Asia Minor, etc. illustrated",,"Syria, the Holy Land, Asia Minor, etc. illustrated $ in a series of views drawn from nature $ by W. H. Bartlett ... with descriptions of the plates by John Carne",2,,London [u.a.],,,Fisher,,,[1839],1839,76 S.,zahlr. Ill.,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 1125",,,,eng,,,,,,,,,"Bartlett, William Henry ; http://d-nb.info/gnd/119344092",,,,,,Naher Osten ; Vedute,TravelogueE19 Asien $ TravelogueE19 Orient,,177019-C.2 MAG $ 250731-C.2 MAG,ZALT $ ZFID,
AC13238968,AC13238968,990049173740603338,,,"Carne, John ; http://d-nb.info/gnd/143979191","Syria, the Holy Land, Asia Minor, etc. illustrated",,"Syria, the Holy Land, Asia Minor, etc. illustrated $ in a series of views drawn from nature $ by W. H. Bartlett ... with descriptions of the plates by John Carne",3,,London [u.a.],,,Fisher,,,[um 1839],1839,100 S.,zahlr. Ill.,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 1125",,,,eng,,,,,,,,,"Bartlett, William Henry ; http://d-nb.info/gnd/119344092",,,,,,Naher Osten ; Vedute,TravelogueE19 Asien $ TravelogueE19 Orient,,250731-C.3 MAG,ZFID,
AC10356407,AC10356407,990035232950603338,,,"Stuart, James",,,"The antiquities of Athens, measured and delineated.",,,London,,,Haberkorn,,,1762-1830,1762,,,,,,Vol. 1-4. Vol. 5=Suppl.,"Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 1074",,,eng,,,,,,,"Revett, Nicholas",,,,,,,,Altertümer ; Athen,TravelogueE18 Europa $ TravelogueE19 Europa $ TravelogueE19 Orient $ TravelogueE18 Orient,,BE.3.A.8 PRUNK,ZALT,
AC11320870,AC11320870,990044481890603338,http://data.onb.ac.at/ABO/%2BZ185838901,Z185838901,"MacFarlane, Charles ; http://d-nb.info/gnd/128541563","The Armenians, a tale of Constantinople",,"The Armenians, a tale of Constantinople",1,,London,,,Saunders,,,1830,1830,"VII, 328 S.",,,,,,,,,eng,,,,,,,,,,,,,,,Armenier,,,*70.J.98.(Vol.1) PRUNK,ZALT,
AC11320878,AC11320878,990044481970603338,http://data.onb.ac.at/ABO/%2BZ185839000,Z185839000,"MacFarlane, Charles ; http://d-nb.info/gnd/128541563","The Armenians, a tale of Constantinople",,"The Armenians, a tale of Constantinople",2,,London,,,Saunders,,,1830,1830,329 S.,,,,,,,,,eng,,,,,,,,,,,,,,,Armenier,,,*70.J.98.(Vol.2) PRUNK,ZALT,
AC11320882,AC11320882,990044481990603338,http://data.onb.ac.at/ABO/%2BZ185839103,Z185839103,"MacFarlane, Charles ; http://d-nb.info/gnd/128541563","The Armenians, a tale of Constantinople",,"The Armenians, a tale of Constantinople",3,,London,,,Saunders,,,1830,1830,"[1] Bl., 350 S.",,,,,,,,,eng,,,,,,,,,,,,,,,Armenier,,,*70.J.98.(Vol.3) PRUNK,ZALT,
AC09720911,AC09720911,990028740160603338,http://data.onb.ac.at/ABO/%2BZ17511540X,Z17511540X,,,,The Boat And The Caravan A Family Tour Through Egypt and Syria,,,London,,,D. Bogne,,,1847,1847,,,,,,,,,,eng,,,,,,,,,,,,,,,Ägypten ; Reise,,,72.Y.119 PRUNK,ZALT,
AC09772538,AC09772538,990029268910603338,,,"Chesney, Francis Rawdon",,,"The expedition for the survey of the rivers Euphrates and Tigris, carried on in the years 1835, 1836 and 1837, preceded by geographical and historical notices of the regions situated between the rivers Nile and Indus",,,London,,,Longman,,,1850-,1850,,,,,,Vol. 1-3.,,,,eng,,,,,,,,,,,,,,,Forschungsreise ; Mesopotamien,,,31419-B-D MAG,ZKAR,
AC10147660,AC10147660,990033102130603338,http://data.onb.ac.at/ABO/%2BZ182667603,Z182667603,Mustafa ibn'Abdallah Katib Celebl Hajji Halifah,,,"The History Of The Maritime Wars Of The Turks, Translated From The Turkish Of Haji Khalifeh By James Mitchell. Chapters I. To IV.",,,London,,,Valpy,,,1831,1831,,,,,,,,,,eng,,,,,,,"Mitchell, James",,,,,,,,Seekrieg ; Türkei,,,MF 1374 MIK $ 26753-C MAG,ZNEU $ ZALT,
AC10443243,AC10443243,990036119790603338,http://data.onb.ac.at/ABO/%2BZ180797805,Z180797805,"Williams, George",,,The holy city; or historical and topographical notices of Jerusalem; with some account of its antiquities and of its present condition.,,,London,,,Parker,,,1845,1845,,,,,,,,,,eng,,,,,,,,,,,,,,,Jerusalem ; Führer,,,35511-B MAG,ZALT,
AC09890668,AC09890668,990030477530603338,http://data.onb.ac.at/ABO/%2BZ198077305,Z198077305,"Gell, William",,,"The Itinerary Of Greece Containing One Hundred Routes In Attica, Boeotia, Phocis, Locris And Thessaly",,,London,,,Rodwell and Martin,,,1819,1819,,,,,,,,,,eng,,,,,,,,,,,,,,,Griechenland ; Norden ; Straßenkarte,TravelogueE19 Europa $ TravelogueE19 Orient,,BE.6.Q.47 PRUNK,ZALT,
AC12295228,AC12295228,990047367100603338,http://data.onb.ac.at/ABO/%2BZ203952704,Z203952704,"Wilkie, David","The life of sir David Wilkie; with his journals, tours and critical remarks on works of art, and a selection from his correspondence ; by Allan Cunningham ; in three volumes",,"The life of sir David Wilkie; with his journals, tours and critical remarks on works of art, and a selection from his correspondence ; by Allan Cunningham ; in three volumes",3,,London,,,John Murray,,,1843,1843,,,,,,,,,,eng,,,,,,,"Cunningham, Allan",,,,,,,,"Wilkie, David ; Malerei",,,176063-B.3 MAG,ZALT,
AC11871744,AC11871744,990045988710603338,http://data.onb.ac.at/ABO/%2BZ19703010X,Z19703010X,"Choules, John Overton ; http://d-nb.info/gnd/124306756",The Origin And History Of Missions,,"The Origin And History Of Missions $ A History Of The Voyages, Travels, Labors, And Successes Of The Various Missionaries ... Compiled From Authentic Documents; Forming A Complete Missionary Repository $ By The Rev. John O. Choules, A. M. Of New York. And The Rev. Thomas Smith, Late Minister Of Trinity Chapel, London",1,9. Aufl.,New York,,,Robert Carter,,,1848,1848,"[2] Bl., 622 S., [12] Bl.",Ill.,,,,"Zusätzl. mit Kupfertitel, Frontisp.",,,,eng,,,,,,,"Smith, Thomas III",,,,,,,,Mission ; Geschichte,,,14938-C.1 MAG,ZALT,
AC11871759,AC11871759,990045988730603338,http://data.onb.ac.at/ABO/%2BZ197030202,Z197030202,"Choules, John Overton ; http://d-nb.info/gnd/124306756",The Origin And History Of Missions,,"The Origin And History Of Missions $ A History Of The Voyages, Travels, Labors, And Successes Of The Various Missionaries ... Compiled From Authentic Documents; Forming A Complete Missionary Repository $ By The Rev. John O. Choules, A. M. Of New York. And The Rev. Thomas Smith, Late Minister Of Trinity Chapel, London",2,9. Aufl.,New York,,,Robert Carter,,,1848,1848,"[3] Bl., XIV, 610 S., [2] Bl.",Ill.,,,,"Zusätzl. mit Kupfertitel, Frontisp.",,,,eng,,,,,,,"Smith, Thomas III",,,,,,,,Mission ; Geschichte,,,14938-C.2 MAG,ZALT,
AC09890672,AC09890672,990030477570603338,http://data.onb.ac.at/ABO/%2BZ153685005,Z153685005,"Gell, William",,,"The topography of Troy, and its vicinity.",,,London,,,Longman,,,1804,1804,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 001",,,,eng,,,,,,,,,,,,,,,Troja,TravelogueE19 Asien $ TravelogueE19 Orient,,179139-D MAG,ZALT,
AC11862987,AC11862987,990045974250603338,http://data.onb.ac.at/ABO/%2BZ182666908,Z182666908,"Paulus, archidiaconus Aleppinensis","The Travels Of Macarius, Patriarch of Antioch: Written By His Attendant Archdeacon, Paul Of Aleppo, In Arabic ... Translted By F. C. Belfour",,"The Travels Of Macarius, Patriarch of Antioch: Written By His Attendant Archdeacon, Paul Of Aleppo, In Arabic ... Translted By F. C. Belfour",1,,London,,,Valpy,,,1836,1836,,,,,,,,,,eng $ ara,,,,,,,"Belfour, Francis C. ; http://d-nb.info/gnd/128478349",,,,,,,,Makarius III. Patriach von Antiochien ; Reise,,,26744-C.1 MAG,ZALT,
AC11862996,AC11862996,990045974270603338,http://data.onb.ac.at/ABO/%2BZ182667007,Z182667007,"Paulus, archidiaconus Aleppinensis","The Travels Of Macarius, Patriarch of Antioch: Written By His Attendant Archdeacon, Paul Of Aleppo, In Arabic ... Translted By F. C. Belfour",,"The Travels Of Macarius, Patriarch of Antioch: Written By His Attendant Archdeacon, Paul Of Aleppo, In Arabic ... Translted By F. C. Belfour",2,,London,,,Valpy,,,1836,1836,,,,,,,,,,eng $ ara,,,,,,,"Belfour, Francis C. ; http://d-nb.info/gnd/128478349",,,,,,,,Makarius III. Patriach von Antiochien ; Reise,,,26744-C.2 MAG,ZALT,
AC10095674,AC10095674,990032570710603338,http://data.onb.ac.at/ABO/%2BZ157152204,Z157152204,John ; Mandeville ; http://d-nb.info/gnd/118730606,,,"The voiage and travaile ... which treateth of the way to Hierusalem ... Reprinted from the edition of A.D. 1725. With an introd., add. notes and glossary by J. O. Halliwell.",,,London,,,Lumley,,,1839,1839,,,,,,,,,,eng,,,,,,,"Halliwell, James Orchard",,,,,,,,Forschungsreise ; Palästina,,,63441-B MAG,ZALT,
AC12154122,AC12154122,990046951400603338,http://data.onb.ac.at/ABO/%2BZ201356107,Z201356107,"Byron, George Gordon Byron ; Baron ; http://d-nb.info/gnd/118518208",<<The>> works of Lord Byron,,"The works of Lord Byron with his letters and journals, and his life by Thomas Moore, Esq. ; In seventeen Volumes","1 ; [The Life of Lord Byron, to the Period of his Return from the Continent, July 1811]",,London,,,Murray,,,1833,1833,,,,,,,,,,eng,,,,,,,"Moore, Thomas ; http://d-nb.info/gnd/118784714",,,,,,,,,,,27.Ll.39.(Vol.1) PRUNK,ZALT,
AC12154221,AC12154221,990046951690603338,http://data.onb.ac.at/ABO/%2BZ201357008,Z201357008,"Byron, George Gordon Byron ; Baron ; http://d-nb.info/gnd/118518208",<<The>> works of Lord Byron,,"The works of Lord Byron with his letters and journals, and his life by Thomas Moore, Esq. ; In seventeen Volumes",10,,London,,,Murray,,,1833,1833,,,,,,,,,,eng,,,,,,,"Moore, Thomas ; http://d-nb.info/gnd/118784714",,,,,,,,,,,27.Ll.39.(Vol.10) PRUNK,ZALT,
AC12154146,AC12154146,990046951480603338,http://data.onb.ac.at/ABO/%2BZ201356302,Z201356302,"Byron, George Gordon Byron ; Baron ; http://d-nb.info/gnd/118518208",<<The>> works of Lord Byron,,"The works of Lord Byron with his letters and journals, and his life by Thomas Moore, Esq. ; In seventeen Volumes","3 ; [The Life of Lord Byron, from Febuary 1814, to April 1817]",,London,,,Murray,,,1833,1833,,,,,,,,,,eng,,,,,,,"Moore, Thomas ; http://d-nb.info/gnd/118784714",,,,,,,,,,,27.Ll.39.(Vol.3) PRUNK,ZALT,
AC12154173,AC12154173,990046951540603338,http://data.onb.ac.at/ABO/%2BZ201356600,Z201356600,"Byron, George Gordon Byron ; Baron ; http://d-nb.info/gnd/118518208",<<The>> works of Lord Byron,,"The works of Lord Byron with his letters and journals, and his life by Thomas Moore, Esq. ; In seventeen Volumes",6,,London,,,Murray,,,1833,1833,,,,,,,,,,eng,,,,,,,"Moore, Thomas ; http://d-nb.info/gnd/118784714",,,,,,,,,,,27.Ll.39.(Vol.6) PRUNK,ZALT,
AC12154180,AC12154180,990046951560603338,http://data.onb.ac.at/ABO/%2BZ201356703,Z201356703,"Byron, George Gordon Byron ; Baron ; http://d-nb.info/gnd/118518208",<<The>> works of Lord Byron,,"The works of Lord Byron with his letters and journals, and his life by Thomas Moore, Esq. ; In seventeen Volumes",7,,London,,,Murray,,,1833,1833,,,,,,,,,,eng,,,,,,,"Moore, Thomas ; http://d-nb.info/gnd/118784714",,,,,,,,,,,27.Ll.39.(Vol.7) PRUNK,ZALT,
AC12154215,AC12154215,990046951650603338,http://data.onb.ac.at/ABO/%2BZ201356909,Z201356909,"Byron, George Gordon Byron ; Baron ; http://d-nb.info/gnd/118518208",<<The>> works of Lord Byron,,"The works of Lord Byron with his letters and journals, and his life by Thomas Moore, Esq. ; In seventeen Volumes",9,,London,,,Murray,,,1833,1833,,,,,,,,,,eng,,,,,,,"Moore, Thomas ; http://d-nb.info/gnd/118784714",,,,,,,,,,,27.Ll.39.(Vol.9) PRUNK,ZALT,
AC10438453,AC10438453,990036071110603338,,,"White, Charles","Three Years In Constantinople; Or, Domestic Manners Of The Turks In 1844",,"Three Years In Constantinople; Or, Domestic Manners Of The Turks In 1844 $ In Three Volumes $ By Charles White, Esq.",,,London,London ; http://d-nb.info/gnd/4074335-4,,"Henry Colburn, Publisher","Colburn, Henry ; http://d-nb.info/gnd/103751050X",,1845,1845,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 394",,,,eng,,,,,,,,,,,,,,,Istanbul,TravelogueE19 Asien $ TravelogueE19 Orient,,,,
AC16585775,AC16585775,9958929133503338,http://data.onb.ac.at/ABO/%2BZ160872207,Z160872207,"White, Charles","Three Years In Constantinople; Or, Domestic Manners Of The Turks In 1844",,"Three Years In Constantinople; Or, Domestic Manners Of The Turks In 1844 $ In Three Volumes $ By Charles White, Esq.",Vol. I.,,,London ; http://d-nb.info/gnd/4074335-4,London ; http://d-nb.info/gnd/4074335-4,,"Colburn, Henry ; http://d-nb.info/gnd/103751050X","Shoberl, Frederick",,1845,"2 ungezählte Seiten, xix Seiten, 1 ungezählte Seite, 338 Seiten, 6 Seiten, 1 ungezähltes Blatt Bildtafel, 1 gefaltetes Blatt Karte","10 Illustrationen, 1 Karte",10,1,12°,"Die Illustrationen sind: 1 Frontispiz (illustriert von Day & Haghe Lith.rs to the Queen.), 9 Illustrationen, 1 Karte von Plan of Bosphorus and of Bends and Aqueducts round Belgrade.","Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 394",Am Ende 6 Seiten Verlag Anzeige,,eng,,,,,,,,,,,,Reisebericht,,,Istanbul,TravelogueE19 Asien $ TravelogueE19 Orient,,9804-B.1 MAG,ZALT,
AC16591148,AC16591148,9958931311603338,http://data.onb.ac.at/ABO/%2BZ16087230X,Z16087230X,"White, Charles","Three Years In Constantinople; Or, Domestic Manners Of The Turks In 1844",,"Three Years In Constantinople; Or, Domestic Manners Of The Turks In 1844 $ Second Edition : In Three Volumes $ By Charles White, Esq.",Vol. II.,Second Edition,London,London ; http://d-nb.info/gnd/4074335-4,London ; http://d-nb.info/gnd/4074335-4,"Henry Colburn, Publisher","Colburn, Henry ; http://d-nb.info/gnd/103751050X","Shoberl, Frederick",1846,1846,"4 ungezählte Seiten, vii Seiten, 1 ungezähltes Blatt, 372 Seiten, 1 ungezähltes Blatt Bildtafel",11 Illustrationen,11,,12°,"Die Illustrationen sind: 1 Frontispiz (illustriert von Day & Haghe Lith.rs to the Queen.), 10 Illustrationen.","Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 394",,,eng,,,,,,,,,,,,Reisebericht,,,Istanbul,TravelogueE19 Asien $ TravelogueE19 Orient,,9804-B.2 MAG,ZALT,
AC16591438,AC16591438,9958931311203338,http://data.onb.ac.at/ABO/%2BZ160872402,Z160872402,"White, Charles","Three Years In Constantinople; Or, Domestic Manners Of The Turks In 1844",,"Three Years In Constantinople; Or, Domestic Manners Of The Turks In 1844 $ Second Edition : In Three Volumes $ By Charles White, Esq.",Vol. III.,Second Edition,London,London ; http://d-nb.info/gnd/4074335-4,London ; http://d-nb.info/gnd/4074335-4,"Henry Colburn, Publisher","Colburn, Henry ; http://d-nb.info/gnd/103751050X","Shoberl, Frederick",1846,1846,"2 ungezählte Seiten, vii Seiten, 1 ungezähltes Blatt, 367 Seiten, 1 ungezähltes Blatt Bildtafel, 1 gefaltetes Blatt Karte","9 Illustrationen, 1 Karte",9,1,12°,"Die Illustrationen sind: 1 Frontispiz (illustriert von Day & Haghe Lith.rs to the Queen.), 9 Illustrationen; gefaltete Karte.","Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 394",,,eng,,,,,,,,,,,,Reisebericht,,,Istanbul,TravelogueE19 Asien $ TravelogueE19 Orient,,9804-B.3 MAG,ZALT,
AC09845482,AC09845482,990030015840603338,http://data.onb.ac.at/ABO/%2BZ222132407,Z222132407,"Eton, William ; http://d-nb.info/gnd/136265510",,,"Title A survey of the Turkish empire ; In which are considered, I. Its government, ... II. The state of the provinces, ... III. The causes of the decline of Turkey, ... IV. The British commerce with Turkey (etc.)",,,London,,,F. Cadell,,,1801,1801,500 S.,,,,,,,,,eng,,,,,,,,,,,,,,,Türkei,,,14.G.11 PRUNK,ZALT,
