,Systemnummer,MMS-ID,Volltext,Barcode,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker normiert ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC16604336,AC16604336,9958935604603338,http://data.onb.ac.at/ABO/%2BZ166238103,Z166238103,"Lindsay, Alex Will Crawford Lord","Letters On Egypt, Edom And The Holy Land.",,"Letters On Egypt, Edom And The Holy Land. $ In Two Volumes $ By Lord Lindsay",Vol. I.,,London,London ; http://d-nb.info/gnd/4074335-4,,"Henry Colburn, Publisher",,,1838,1838,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 401",,,,eng,,,,,,,,,,,,Reisebericht,,,Ägypten ; Aufsatzsammlung ; Edom ; Aufsatzsammlung ; Palästina ; Aufsatzsammlung,TravelogueE19 Asien Afrika $ TravelogueE19 Orient,,63.F.39.(Vol.1) PRUNK,ZALT,
AC16604341,AC16604341,9958935604503338,http://data.onb.ac.at/ABO/%2BZ166238206,Z166238206,"Lindsay, Alex Will Crawford Lord","Letters On Egypt, Edom And The Holy Land.",,"Letters On Egypt, Edom And The Holy Land. $ In Two Volumes $ By Lord Lindsay",Vol. II.,,London,London ; http://d-nb.info/gnd/4074335-4,,"Henry Colburn, Publisher",,,1838,1838,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 401",,,,eng,,,,,,,,,,,,Reisebericht,,,Ägypten ; Aufsatzsammlung ; Edom ; Aufsatzsammlung ; Palästina ; Aufsatzsammlung,TravelogueE19 Asien Afrika $ TravelogueE19 Orient,,63.F.39.(Vol.2) PRUNK,ZALT,
AC10137699,AC10137699,990033000240603338,http://data.onb.ac.at/ABO/%2BZ175694009,Z175694009,"Morier, J. P.",,,"Memoir of a campaign with the Ottoman army in Egypt, from February to July 1800, containing A Description of the Turkish Army, The Journal of its March from Syria to Egypt ... with an Account of the Event that followed",,,London,,,Debrett,,,1801,1801,,,,,,,,,,eng,,,,,,,,,,,,,,,Ägypten ; Krieg ; Türkei,,,*35.V.16 PRUNK,ZALT,
AC11832273,AC11832273,990045835310603338,http://data.onb.ac.at/ABO/%2BZ175423701,Z175423701,"Jones, Paul",Memoirs of Paul Jones. Now first compiled from his original journals and correspondence ... prepared for publication by himself,,Memoirs of Paul Jones. Now first compiled from his original journals and correspondence ... prepared for publication by himself,2,,Edinburgh,,,Oliver & Boyd,,,1830,1830,,,,,,,,,,eng,,,,,,,,,,,,,,,"Jones, John Paul",,,*35.T.13.(Vol.2) PRUNK,ZALT,
AC10331904,AC10331904,990034984010603338,http://data.onb.ac.at/ABO/%2BZ20612420X,Z20612420X,"Sparks, Jared",,,"Memoirs Of The Life And Travels Of John Ledyard, From His Journals And Correspondence ; By Jared Sparks",,,London,,,Henry Colburn,,,1828,1828,,,,,,,,,,eng,,,,,,,,,,,,,,,"Ledyard, John of",,,BE.9.H.31 PRUNK,ZALT,
AC10144611,AC10144611,990033070860603338,http://data.onb.ac.at/ABO/%2BZ171776500,Z171776500,"Muhammad Babur, Zahir-al-din Imperator Indiae",,,"Memoirs of Zehir-ed-din Muhammed Baber, emperor of Hindustan, written by himself, in the Jaghatai Turki, and translated, partly by the late John Leyden ... partly by William Erskine with notes and a geographical and historical introduction (etc.)",,,London,,,Longman,,,1826,1826,"LXIX, 432 S.",,,,,,,,,eng,,,,,,,"Erskine, William $ Leyden, John",,,,,,,,Asien ; Zentral- ; Erlebnisbericht ; Babur,,,56.G.28 PRUNK,ZALT,
AC10424763,AC10424763,990035931530603338,http://data.onb.ac.at/ABO/%2BZ119584508,Z119584508,"Walpole, Robert ; http://d-nb.info/gnd/133560155",,,"Memoirs Relating To European And Asiatic Turkey, And Other Countries Of The East $ Edited From Manuscript Journals, By Robert Walpole, M. A.",,The Second Edition,London,London ; http://d-nb.info/gnd/4074335-4,London ; http://d-nb.info/gnd/4074335-4,"Printed for Longman, Hurst, Rees, Orme, And Brown $ Printed by A. Strahan","Longman, Hurst, Rees & Orme ; http://d-nb.info/gnd/10165470-4","Strahan, Andrew ; http://d-nb.info/gnd/1037509447",1818,1818,"xxii, 615 Seiten, 8 ungezählte Blätter Bildtafeln, 5 ungezählte Doppelblätter Bildtafeln","13 Illustrationen, 4 Karten",13,4,4°,"Die Illustrationen sind 1 Kupferstich-Karte (""Graecia Antiqua"", gestochen von Thomson & Hall) als Frontispiz, 1 Titelillustration (gestochen und gezeichnet von Evans), 4 Kupferstich-Illustrationen (gestochen von Evans), 2 Karten  (gestochen von S. Y. Hall),  1 Kupferstich-Illustration (gestochen von P. W. Tomkins), 1 Kupferstich-Plan (von Athen, gestochen von S. Y. Hall), 4 Doppelblätter mit Kupferstich-Illustrationen (gestochen von Charles Turner), 1 Illustration, 1 Plan (im Text). - Tabellen ; Fußnoten","Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 1178 ; Weber II, 60",Seite ix-xxii: Preface,,eng,,,,,,,,,"Hall, Sidney ; http://d-nb.info/gnd/103754067 $ Turner, Charles ; http://d-nb.info/gnd/11922691X $ Tomkins, Peltro William ; http://d-nb.info/gnd/105573449X $ Evans, ...",,,Erlebnisbericht $ Reisebericht,, : Travels in Various Countries Of The East,Reise ; Geschichte 1803-1808 ; Türkei ; Griechenland ; Osmanisches Reich,TravelogueE19 Europa Asien $ TravelogueE19 Orient,,4.E.13.(Vol.1) PRUNK,ZALT,
AC09985017,AC09985017,990031441960603338,http://data.onb.ac.at/ABO/%2BZ167690500,Z167690500,Ibn al-din al- Agwati,Miscellaneous Translations from oriental languages,,Miscellaneous Translations from oriental languages,1 ; Miscellaneous Translations from oriental languages. Vol. I,,London,,,,,,1831,1831,,,,,,"mit Widmungsblatt (Schmuckrahmen): Oriental Translation Fund. Instituted 1828 under the Patronage of His Most Gracious Majesty George the Fourth. This copy was printed for the Imperial Library, Vienna",Notes on a journey into the Interior of Northern Africa by Hadji Ebn ed-din El- Eghwaati. Translated from the Arabic by W. B. Hodgson (etc.),"Extracts from the Sakaa-Thevan-Saasteram, or Book of the Fate. Translated from the Tamul language by ... Joseph Roberts (etc.)","The last days of Krishna and the sons of Pandu, from the concluding section of the Mahabharat. Translated from the Persian version, made by Nekkeib Khan ... By David Price (etc.) ; The Vedala Cadai, being the Tamul Version of a Collection of Ancient Tales in the Sanscrit Language; ... entitled the Vetala Panchavinsati. Translated by B. G. Babington (etc.) ; Indian Cookery, as practised and described by the Natives of the East. Translated by Sandford Arnot (etc.)",eng,,,,,,,"Hodgson, Brian Houghton $ Roberts, Joseph $ 'Ali ibn 'Abdal-latif Naqib Han al-Husaini, Giyat-al din $ Price, David $ Babington, Benjamin Guy $ Arnot, Sandford ; http://d-nb.info/gnd/1067660364",,,,,Erzählung,,,Afrika ; Norden ; Forschungsreise ; Orient ; Philosophie ; Indien ; Wahrsagen ; Aberglaube ; Indien ; Krischna ; Mahābhārata ; Dämon ; Belletristische Darstellung ; Erzählung ; Tamil ; Tantrismus ; Belletristische Darstellung ; Indien ; Kochbuch ; Indien ; Kochen,,,26248-B.1 MAG $ 26248-B UNASSIGNED,ZALT $ ZALT,
AC10027992,AC10027992,990031880100603338,http://data.onb.ac.at/ABO/%2BZ167690603,Z167690603,"Kooznets, Lazar",Miscellaneous Translations from oriental languages,,Miscellaneous Translations from oriental languages,2 ; Miscellaneous Translations From Oriental Languages. Vol. II,,London,,,Oriental Translation Fund,,,1834,1834,,,,,,"mit Widmungsblatt (Schmuckrahmen): Oriental Translation Fund London. Instituted 1828 under the Patronage of His Most Gracious Majesty William the Fourth. This copy was printed for the Imperial Library, Vienna","Genealogical Catalogue Of The Kings Of Armenia By Prince Hubboff. Transl. from the armenian into the russian language by Lazar Kooznets. Translated from the russian into english, and compared with the original armenian manuscript, by James Glen (etc.)",An Account Of The Siege And Reduction Of Chaitur By The Emperor Akbar. From the Akbar-Namah Of Shaikh Abul-Fazl. Translated by Major David Price,"A Short History of the secret motives, which induced the deceased Alemdar Mustafa Pasha ... to march from the cuty of Adiranople to Constiantinople ... i n order to depose Sultan Mustafa and restore to the thorne Sultan Selim The Martyr, ... Transl. from the turkish, by colonel Thomas Gordon (etc.) ; The Ritual of the Budd'hist Priesthood, translated from the original Pa'li work entitled Karmawakya by ... Benjamin Clough (etc.) ; Translation Of An Extract from A Horticultural Work in persian, by Baboo Radhakant Deb, of Calcutta ; Account Of The Grand Festival held by the Amir Timur ... after his return from Asia minor, ...... Translated from the Mulfuzat Timuri, or life ot Timur, written by himself, by Colonel Francklin",eng,,,,,,,"Hubboff, ..... Prince $ Glen, James $ Price, David $ Gordon, Thomas $ Clough, Benjamin ; http://d-nb.info/gnd/138235155",,,,,,,,"Armenien ; König ; Genealogie ; Akbar ; Jaipur ; Mustafa IV. Sultan der Türkei ; Mustafa Pasa, Bayraqdar ; Türkei ; Geschichte 1808 ; Buddhismus ; Priester ; Zeremonie ; Buddhismus ; Mönchtum ; Gartenbau ; Iran ; Tīmūr",,,26248-B.2 MAG $ 26248-B UNASSIGNED,ZALT $ ZALT,
AC10442884,AC10442884,990036116110603338,,,"Wilkinson, John Gardner",,,Modern Egypt and Thebes: being a description of Egypt; including the information required for travellers in that country. 2 vol,,,London,,,Murray,,,1843,1843,,,,,,Vol. 1.2.,,,,eng,,,,,,,,,,,,,,,Ägypten ; Theben,,,391939-B MAG,ZPAP,
